id,level,difficulty,type,topic,concept,question,option_a,feedback_a,option_b,feedback_b,option_c,feedback_c,option_d,feedback_d,correct
tr-a2-001,A2,easy,vocabulary,daily life,verb meaning,Sabah saat yedide uyanıyorum. Bu cümlede “uyanmak” ne demek?,to wake up,“Uyanmak” means to stop sleeping and wake up.,to wash,“Yıkamak” means to wash; it is a different action.,to sleep,"“Uyumak” means to sleep, not to wake up.",to wait,“Beklemek” means to wait.,A
tr-a2-002,A2,medium,vocabulary,city,noun meaning,“Mahalle” kelimesinin İngilizce karşılığı hangisidir?,building,“Bina” means building.,neighborhood,“Mahalle” means a neighborhood or local district within a town or city.,street,“Sokak” means street.,village,“Köy” means village.,B
tr-a2-003,A2,hard,vocabulary,time,adverb meaning,“Henüz ödevimi bitirmedim.” cümlesinde “henüz” en yakın hangi anlama gelir?,already,“Zaten” can express already; “henüz” with a negative verb means not yet.,usually,“Genellikle” means usually.,not yet,"With a negative verb, “henüz” means not yet: the action has not happened up to now.",immediately,“Hemen” means immediately/right away.,C
tr-a2-004,A2,easy,grammar,cases,dative destination,Her sabah saat sekizde iş___ gidiyorum.,i,“İşi” is accusative and marks a definite direct object; “gitmek” takes a destination in the dative.,te,“İşte” would mean at work; it expresses location rather than movement toward work.,ten,“İşten” means from work and marks movement away from it.,e,A destination with “gitmek” takes the dative: “işe gidiyorum.”,D
tr-a2-005,A2,medium,grammar,cases,locative location,"Telefonum çanta___, masada değil.",da,“Çantada” means in the bag. The locative -da/-de marks where something is.,dan,“Çantadan” means from the bag.,ya,“Çantaya” means to/into the bag and expresses direction.,yı,“Çantayı” is accusative and marks the bag as a definite object.,A
tr-a2-006,A2,hard,grammar,cases,ablative source,Saat altıda ofis___ çıktım ve eve gittim.,e,"“Ofise” means to the office, the opposite direction.",ten,“Ofisten çıktım” means I left/came out of the office; çıkmak commonly takes the ablative for the source.,te,“Ofiste” means at the office and does not express the source of leaving.,i,“Ofisi” is accusative and does not fit with this use of “çıkmak.”,B
tr-a2-007,A2,easy,grammar,cases,accusative definite object,Bu kitabı geçen hafta aldım ama daha bitirmedim. Bu akşam kitap___ okuyacağım.,ta,“Kitapta” means in/on the book and is locative.,tan,“Kitaptan” means from the book.,ı,"The already identified book is a definite direct object, so “kitabı” takes the accusative. The final p softens to b before the vowel-initial suffix.",a,“Kitaba” is dative and means to the book.,C
tr-a2-008,A2,medium,grammar,possessives,first-person possession,Benim iki kardeşim var. Kardeş___ Ankara'da yaşıyor.,im,"“Kardeşim” means my sibling. With “benim,” the noun takes the first-person singular possessive suffix.",in,“Kardeşin” means your sibling.,i,“Kardeşi” means his/her sibling in this context.,imiz,“Kardeşimiz” means our sibling.,A
tr-a2-009,A2,hard,grammar,possessives,genitive possessive construction,Ayşe'nin araba___ çok eski ama hâlâ iyi çalışıyor.,m,“Arabam” means my car.,n,“Araban” means your car.,sı,"In “Ayşe'nin arabası,” Ayşe is the possessor and “arabası” carries the third-person possessive suffix.",mız,“Arabamız” means our car.,C
tr-a2-010,A2,easy,grammar,tense,present continuous,Şu anda mutfaktayım ve akşam yemeği ___.,hazırladım,“Hazırladım” is simple past: I prepared.,hazırlıyorum,"“Şu anda” signals an action happening now, so present continuous “hazırlıyorum” fits.",hazırlayacağım,“Hazırlayacağım” is future: I will prepare.,hazırlarım,“Hazırlarım” is aorist and usually describes habits/general behavior here.,B
